reg;statistic
Республика Карелия;280012,4
Республика Коми;665735,7
Архангельская область;819247
Вологодская область;582630,4
Калининградская область;460854,9
Ленинградская область;1104435,9
Мурманская область;482547,9
Новгородская область;262008
Псковская область;164228,5
Санкт-Петербург;4193489,5
